"","X121L","X121M","X131L","X131M","X214L","X214M","X221L","X221M","X228L","X228M","X233L","X233M","X259L","X259M","X263L","X263M","X276L","X276M","X280L","X280M","X289L","X289M","X293L","X293M","X295L","X295M","X296L","X296M","X314L","X314M","X32L","X32M","X339L","X339M","X8L","X8M","X90L","X90M","CV","mean_expression"
"ENSG00000145439",9.93646105036095,9.56822222819631,9.98513361739226,9.7874593768799,9.7818787512902,9.92588706919178,10.027516902394,9.96458140040618,10.2637295958444,9.9055210928941,8.97543484402325,9.66361634523289,9.95712011013234,10.3964979794992,10.0509233812357,9.81697254980247,9.48709292054462,9.25372936368828,9.75885642065512,8.84707044774444,10.2185921410874,10.0066231466096,10.1563497875389,9.87277747553418,9.93393460457852,10.0741455863496,9.55954506087093,9.36437874370068,10.2334186311109,10.1686733711441,9.97209793716295,10.1258672122844,10.1874348033538,9.27143086102308,10.0330920909442,9.21744839136982,10.268149131977,9.93918851286122,3.74470147150368,9.8409698141292
"ENSG00000035862",9.2332335266537,9.37553845770107,10.2579839418841,9.81048383545982,9.76337775351887,9.67001905360199,9.18824134486884,9.06133537246335,10.1727023369678,9.166747425549,10.1058704899846,10.0793329537603,9.67254021657876,9.46593160235894,9.69950217315362,9.77438786635865,9.33857661518833,9.70809061305074,9.86873951754241,9.58644763370503,9.80891713305494,9.82178490677406,9.5008842969882,10.214128869497,9.54865853001095,9.62296165385404,9.78286851907574,9.67146179778316,9.93000625084841,9.85964786612084,9.61252769993625,9.98188665919619,9.40541016140085,9.20668701367852,10.3471458250346,9.8775045654695,10.2999936228141,9.91466476481724,3.4130278025331,9.72121639122907
"ENSG00000100201",9.19643944024607,8.71539053981947,8.72240454964982,9.33039956225231,9.74421908000615,9.86572161180776,9.64175978658015,9.97418046241097,9.39384907353769,9.77769880768321,9.82434913721297,9.93735018821946,9.76285560573367,9.2249497571378,9.69294553168923,9.83977322691377,9.38063158028822,9.86171310368966,9.14550738563782,9.76263439687957,9.49241532365318,9.3623811040291,9.4223846084456,8.80914051922616,9.27006734162899,9.10918243636188,9.24538012800403,9.50990054107778,9.39692422678776,9.6318628305943,9.5419844683865,9.44418202458721,9.49444370424535,9.50997126055718,9.30991011525789,8.70979029671495,9.820609365723,9.52536036945026,3.60615144045193,9.45791219716123
"ENSG00000108654",8.9924041764611,9.29385479734142,9.2258351349964,9.7375604788655,9.66581677625215,9.7253829298357,8.69478715183123,9.20782601407758,9.62901299671838,9.66656683876065,9.74942279905454,9.95065170797016,9.38784070392693,9.73782495028568,9.31117639570037,9.62047005662706,9.48273944893867,9.35525997560538,8.30452315320317,9.21139046455874,9.58489462883671,9.32366143122939,9.30284644800667,9.32190570147311,9.24298831984086,10.1227744195309,9.37381781499849,9.39872039169545,9.23689198498789,9.86321561767284,9.45102417258412,9.5510995206542,9.47694548669651,9.69324346840805,9.09630945514515,8.67488526051967,9.18085159314979,9.60475952192316,3.77464985743008,9.40661005758852
"ENSG00000110321",9.32556735315382,9.03083395533749,9.37487313070495,9.04139587831905,9.02883817388445,9.06823989703391,8.99507186612642,8.90936206915584,9.18961625591314,8.57675827899918,9.28506169335798,9.17510876463034,9.27432309597305,9.24284952189204,8.75331352253033,8.82015795559072,9.12468507329533,8.79807572621973,9.18984799534433,8.56385368666018,9.19733270921499,9.10458399029876,9.18501477567117,9.18623685940817,9.14778163172093,9.21323108593118,9.04884954711435,8.60113260491186,8.96350676868791,9.02103630952134,9.22434429861977,9.26299592714996,9.09912715834475,8.57747535445596,9.30497013221792,8.85360510476034,9.28792607901318,9.01413968691348,2.46488546223145,9.05424010310732
"ENSG00000009307",8.6800947455819,9.21049553701433,9.04965004845275,9.19345274248437,8.98266268827238,9.04350310399416,9.0321633037205,9.38240326098832,8.96372160302629,9.18216655170664,8.93667122334424,8.94491738325302,8.85146306165703,9.33133136671156,7.79499696853687,9.11209053263628,8.86602097700067,8.90850868167803,9.54100757985969,8.75904540394101,9.05772484407457,9.18208320328456,8.85425971361243,9.75145476416137,8.93871932103751,9.01963074405033,9.14773969857693,8.92155964640128,8.90597398595578,9.20812688487224,8.84480779847442,9.24703230297757,9.35224697769869,8.84999938212287,8.77099016208436,9.06784352245164,9.04868281665249,9.05299590986743,3.3217098671703,9.02600627479517
"ENSG00000070756",8.86779377121434,8.89646886777736,9.45958158865831,8.81685844901594,8.72135021500707,8.63911149581472,8.93571734110261,8.66765068791624,9.070016662823,8.68470387050122,8.88042263074673,8.79479829352963,8.88650133060874,9.14498721516197,9.10310895654116,9.09617581401619,8.47453787079884,8.99852619441257,9.76437654679693,9.16099364270842,8.89226211668331,9.09746293022027,8.9290741596827,9.0395856440076,9.16553068451736,8.74415630443901,8.18057358021605,8.70640801830248,8.95033880151448,9.18295634766378,9.19454526501235,9.00601919234387,8.78958380321213,8.35914494583549,8.93205521892131,9.46422016463695,9.3676443549638,9.38685785818797,3.45495891616041,8.95926581146087
"ENSG00000087460",8.5035367634979,8.89698618828137,9.55200788259689,9.09222941659142,8.62009507949214,8.58989125354884,8.58180796655513,8.57409742217824,9.05496912494729,8.45817554094276,9.03287029529269,8.93401732794108,9.06245765964127,8.95791460259124,8.88886725763834,9.01181297769382,8.87277742275564,8.66243058424051,9.09620366287362,8.91918090209531,9.03590330771729,9.08661475322622,8.85796299933746,9.21494508664557,9.0185888234078,8.82745832820128,8.73926748261793,8.5642143421143,8.81239536376376,8.7661421716013,9.34243755143223,9.17521892117072,8.88743752537154,8.59521329487783,9.26662439807108,9.59473239181221,8.98058793362611,9.0026231649365,3.0220090645051,8.92449203082439
"ENSG00000115677",8.63818978021505,8.7786371352531,9.28724016322222,8.83156261632829,8.96892158417896,8.92151015792643,8.86678333450132,8.6339415351203,9.00498989234474,8.53210285760078,8.74540123012277,8.69090237978069,9.04522143627271,8.93274275978296,8.68887303225757,8.72912662648305,8.75319346301586,8.42900498091207,8.97264438650828,8.19854208035218,9.04575934021717,9.02310176357171,8.66512806979696,8.98516653994532,9.03446888352454,8.83483718235859,8.74415724941973,8.60779510494427,8.84969942912955,8.60819325035089,8.80729863814634,8.80867764461269,8.60111253717403,8.1663090049212,8.62247547195759,8.52379771178319,9.12209081583372,8.7465497454035,2.66633794474,8.77489867934922
"ENSG00000156976",8.91917471432521,9.10220089527939,8.82275027634694,8.58268052488518,8.58852674485323,8.63885745654138,8.47853689406911,8.52739666015327,8.64300780029709,8.72250262439093,8.77960968362357,8.61044332595086,8.54949017120765,8.82215275122527,8.32009589797985,8.83073263055395,8.4440371428753,8.59854032988471,9.16798914838628,8.87988149133982,8.88172333468809,8.74055889602538,9.11825319911101,8.7990206530298,9.03503279963031,8.74460836607066,8.70532018708257,8.6142891247739,8.90033121502758,9.28253451553713,9.04460107665335,8.83528479881395,8.84665799230142,8.8093014509,8.81776099597835,8.63629636974175,8.72820464540455,8.72299851698029,2.36912247586223,8.77082592899787
