"","F1","F2","F3","F4","F5","F6","M1","M2","M3","M4","M5","M6","MF1","MF2","MF3","MF4","MF5","MF6","CV","mean_expression"
"ENSG00000009307",9.04647813990037,8.79281553334894,9.30563249563919,8.95512406226619,9.23242789019983,9.41996103526854,8.97181583323252,9.03059358439349,9.11721390040206,9.18047671274047,9.24264132205962,9.05792407456394,9.11873205538115,9.26027336835962,9.32049413548692,9.15523343436777,9.33621643279358,9.26498710648092,1.74649724920646,9.15605783982695
"ENSG00000100316",9.04778097056723,9.46718525877214,9.08893938472652,8.99084324881807,9.3330251911252,8.6690305088992,9.15684313101192,9.25510003693695,9.05402435012093,9.03035999611309,9.22700811170105,9.04785982018653,8.9647721464273,9.42697074672003,9.2794604561383,9.21198078419464,9.08239802151418,9.18879378866587,2.04144008674558,9.14013199736884
"ENSG00000118816",9.1286521216756,9.02057761680208,9.06564466070367,8.84744016769111,8.84248932366803,8.98582624196982,9.23885059293669,9.02130199579027,9.20988891015793,9.2421364291589,8.69917718608883,9.12819978210994,9.17817174748432,9.43552075213004,9.18319454822715,9.28993448717499,9.02489237409759,9.23387106618754,1.98738053387996,9.09865388911414
"ENSG00000127022",9.2800266100072,8.93638802013698,9.37746694040118,8.98968874757761,9.18171256909514,9.32626896312531,8.96329265765004,8.85435558897595,9.0056664136067,9.04985005724443,9.25621068797519,8.99165288810329,9.05648026954052,9.18326853043855,9.05656150577996,8.84081323697758,9.26652890341291,9.09939239227287,1.76484490048044,9.09531249901785
"ENSG00000215301",8.96348717755293,9.22836071573305,9.14558191518589,8.89173008173078,9.24056416797226,8.96542841712926,8.69406137513595,8.98704648061989,9.1258379976847,8.93940510059667,8.82836661510727,8.89609249589481,8.91066371774638,9.24233685615195,9.26543037793732,9.39158057482728,9.20897033804692,9.4209790418458,2.25159327574471,9.07477352482773
"ENSG00000115464",9.09501929068804,8.52904806387938,9.20976367256076,9.20124795711548,8.92806331315619,9.10903552520904,8.96870743083274,9.21204758080795,9.1407025900054,9.09642878961153,9.00507720339567,9.10816041203354,8.94445762160488,8.79887226209326,9.14061187152081,9.07829228957991,9.11079605315626,9.24103453554313,1.91780956061812,9.05096480348855
"ENSG00000069275",9.00800766625467,8.4712962907993,9.10661745371342,9.25536383773641,8.944094976489,9.12279772737442,9.10354450422922,9.06859789978914,8.85955812726828,9.1890166780931,9.34274538923446,8.92004619808674,9.01956902651022,8.84555940810906,9.1407568888699,9.15509594994146,8.9902449691578,9.11616386296847,2.12467350761352,9.0366153808125
"ENSG00000174444",9.19556458513117,9.54400624427212,9.14309486471073,9.10597948811992,9.08881198503728,8.88769705679272,8.89046765949989,8.81206478166577,8.85718276340488,8.76077933825812,8.98312511310168,8.85947922710698,8.81738623513417,9.25718030626771,8.88763403713709,9.16332191254463,8.9785084266501,9.1439449846865,2.22273042838699,9.02090161164008
"ENSG00000142541",9.1810929683239,9.59520524427237,9.02712837559183,8.9839023424196,9.04702889392455,8.838505012293,8.93037016689036,8.94438804114717,8.86935746761621,8.87564558401223,9.0167201033508,9.07729473227961,8.7484347725454,9.18827390954277,8.81588682893601,9.1430843704275,8.91266760553474,9.025647586639,2.12204089406549,9.01225744476372
"ENSG00000138688",8.79295446446477,8.53758028010114,8.8710981931408,8.92386159753712,8.95676287170615,9.03433877707299,9.0948669964805,9.33226891348573,9.11437506817446,9.11157843568843,8.96753018642799,9.04884137623442,8.97802200328308,8.73804904012685,9.17613698191646,9.08898323183677,9.1713976018728,9.25072012174542,2.13447055844169,9.0105203411831
"ENSG00000117523",8.92518948527031,8.5138278747688,9.04635848071523,8.8810957664211,8.92371648356245,9.00628107785409,8.92733962135399,9.02473217878388,9.19115062114042,9.07176413864114,8.98595476922201,9.10047186798887,9.016130038668,8.92866239552087,9.24128862456423,9.12058877744188,8.98468953663539,9.28578014901941,1.86559159416583,9.00972343819845
"ENSG00000115760",8.83751434875192,8.8162009592239,8.98183599696041,8.94902736016396,8.99426059256943,9.07070227392198,9.02554966539756,9.04208424581227,9.06891053190326,8.99623369992205,9.00733373457371,8.96084514781362,8.8850785182239,9.04773379926355,9.05840502304899,8.95625079080392,9.09541355145608,9.18002432667679,1.00560050022367,8.99852247591596
"ENSG00000122406",9.17424978110665,9.17971180769561,9.18594002001778,8.89420018344597,9.24766149012046,8.94687384948541,8.79966094454517,8.91229527812902,8.78743013517586,8.72807211916645,8.86293426646403,8.92753666189171,8.74986889406997,9.07136118009277,8.81497838004319,9.12213695772932,9.0106308191025,8.98065096616805,1.83580931607704,8.96645520746944
"ENSG00000159140",8.83317645354915,8.83069342653443,8.89755140954322,8.87360482862284,8.8975151614883,8.95856454624857,8.87114655510545,8.88774834656289,9.06582800798246,9.00171717100804,8.98568551715195,9.08264484712627,8.93622304238946,8.90726903261663,9.05732992427861,9.13752806545236,8.96393113701305,9.08672435024686,1.04923711712527,8.95971565682892
