"","GSM7470376","GSM7470377","GSM7470378","GSM7470379","GSM7470380","GSM7470381","GSM7470382","GSM7470383","GSM7470384","GSM7470385","GSM7470386","GSM7470387","GSM7470388","GSM7470389","GSM7470390","GSM7470391","CV","mean_expression"
"ENSG00000132002",11.9654241701001,12.1517268663672,11.8879687650538,12.3055299013865,11.1036908277827,11.5531452624698,11.0721907412681,11.1179663409228,11.5653997733711,11.574473470551,10.2578871187079,11.0508246430246,11.3391267199403,11.3870663732708,10.9321463006323,10.5312863024588,4.9159662470645,11.3622408485817
"ENSG00000108654",11.5698029368311,11.4771938646418,11.5281087960299,11.9461764231266,10.907498022395,11.382418218897,11.5380608720995,11.8238331378454,11.6560219652383,11.3996627074962,9.98663284338587,11.2677225949026,10.8746544605773,11.1128081773774,11.3465687482433,11.0258009078844,4.10020189461726,11.3026852923107
"ENSG00000198712",10.9662191973861,11.644697628919,10.5623336715923,11.5474755843717,10.1131643353051,12.0103932593097,10.3758862012106,11.0077674333718,11.0358838788978,11.8299588430672,11.8275454031914,10.5629002504795,11.5827856231191,10.8032849174682,10.432282171268,11.0950727113414,5.34025153286624,11.0873531943937
"ENSG00000215301",11.4882104883192,11.074865293129,11.1135283224121,11.0708310467969,10.7074112690002,10.8974070564427,11.0803113360218,11.5818881391744,11.486854080795,11.0756394472887,9.66137639613866,10.9610845146753,10.5695665710911,11.1036266813557,11.3632351742757,10.7853949242599,4.14106654502938,11.0013269213235
"ENSG00000184557",11.2369070349113,11.2377210175,10.5278781821501,11.2188985531347,10.8537892950008,11.2689698077615,11.2185979542667,11.1890706928401,11.3359670897731,12.0097309614715,9.66423504449315,10.2132081412538,10.2469021024907,11.0252758669512,11.0406593008869,9.97744457755635,5.57144727670301,10.8915784764026
"ENSG00000204388",11.3571190961367,11.3606303488651,11.4361959328565,11.448635449267,10.9273555139638,10.9852190530618,10.4349366689543,10.3398280576522,10.6376239502244,10.3761807549073,9.30730640291798,10.0351186774141,10.6970356550385,10.6598708786268,10.3005858967073,10.0624723088994,5.59210462659455,10.6478821653433
"ENSG00000086061",11.2278257492325,10.9993105201857,11.0761215470985,11.4006397027844,10.1631186070501,10.6602976561504,10.6761972414484,10.7583669331924,11.1677923103645,10.7182284878695,9.33846214586187,10.2661083305299,10.4198962967188,10.7478800662241,10.7153315918218,9.99227021485734,4.90505434458677,10.6454904625869
"ENSG00000198899",10.166015820999,11.1920482644325,9.97689284789148,11.0289866652123,9.3756243717194,11.2333785837022,10.0252958823732,10.9698867008103,10.3000727261424,11.2031719355375,10.9904852807212,10.3149556934939,11.4720384103949,10.7884515014749,10.3648525901565,10.7596303535071,5.4412108046746,10.6351117267855
"ENSG00000204256",10.7820147294951,10.7790877877558,10.9255506962665,11.3574232691672,10.7232746742712,10.9595364421783,10.4454126431043,10.8673439600452,10.4858602237261,10.7765615366063,9.06493794754078,10.5642652987352,10.1555549589209,10.4728157622045,10.7620674426299,9.7182444981286,5.1137400735812,10.5524969919235
"ENSG00000120129",10.8041870613112,10.7551545920561,10.3514073194942,10.967203205877,10.5552166131669,11.3287952604569,10.7743214847009,10.1539751478667,10.9525187041535,11.1597032124756,9.63684643287572,9.80258012776381,10.5420983119522,11.0646100439626,9.67145830489767,9.73577937097402,5.34630482129556,10.5159909496241
"ENSG00000166710",11.1677788603688,10.0432465722679,10.3894564840711,9.91246584328707,10.1164947645882,10.1960284243007,10.8660123466823,9.92829312105149,11.6410871121256,9.90619380368279,9.84880185913097,10.2245423129853,9.95840771872611,10.1390449166271,10.5458676007731,10.027928103536,4.95939525211499,10.3069781152628
"ENSG00000122566",10.2178840398678,9.91518048486004,10.3311898430375,10.0265588339713,10.2713273045875,9.75849300527126,10.1487438545302,10.2848507680214,10.28646499175,9.75512910883457,9.34263196261578,10.5042055717002,10.0921187327722,10.3810624867089,10.5375451325406,10.2470824801845,3.07581479475608,10.1312792875784
"ENSG00000070756",10.5203302353774,10.354173850838,10.2442103015725,10.2554569132017,9.49745587394843,10.2426463300311,10.1530859857978,10.3164288092429,10.4065612293559,10.0141507397217,8.86493263759622,10.4012698560206,10.0700315489582,10.0806024535607,10.1130168189367,9.61710672228674,4.18012114398457,10.0719662691529
"ENSG00000130522",10.0857631743686,10.2704752915152,9.86175048911473,10.5189387621984,10.3328139620488,10.4694678867559,10.3753095923525,10.6114351361216,10.4756314376318,10.9067456706437,8.9297207312508,9.81339422886862,9.78154557963293,9.91875679995899,9.3491256722741,9.38194868986282,5.27479258200001,10.0676764440375
"ENSG00000185650",10.3124566345529,10.3619305979326,10.157751683095,9.83881139077265,9.74915131975811,10.0268611220372,10.1557745433199,10.6098675995363,10.0970371013903,10.2693836702446,8.90737434591621,9.67765523751294,10.4571860702098,10.09634926502,9.87251761579918,9.317108146835,4.33796560845054,9.99420102149579
"ENSG00000115306",10.8756609189606,10.0997275643486,10.4204489359184,9.81016305036949,10.6713319182572,9.50041016420461,10.1299527070337,9.8644116161473,10.2151682403911,9.56340049488672,9.08806659887671,9.93225760196786,9.3676296277918,9.98842357938503,10.4028609361946,9.85641025023677,4.75208627005992,9.98664526281065
"ENSG00000116560",10.141261915925,9.95858467928088,10.264657267471,10.0553253187326,10.1893606271517,9.54112942751292,10.2445367815628,10.6485539503531,10.1038806489777,9.89915291542825,8.94338273051825,10.3313297369459,9.56311653929345,10.0378429548251,9.9783808816359,9.71075627832712,3.95573047168792,9.97570329087135
"ENSG00000178209",9.80443820066036,10.5054046334487,9.9754423276041,10.514153736768,10.2512680748616,10.6071179873703,9.51783913487102,10.7578201320223,9.75270792040212,10.7175082064037,8.88875586506427,9.68539610769554,9.6183561755039,9.44338562398078,9.57838049383233,9.30541240349054,5.66554781653593,9.93271168899872
"ENSG00000127603",9.7476138905188,10.2861971268208,10.040106760494,9.98260985966803,10.1653356764782,9.63174472176294,9.92502382071601,10.4292799632593,9.60283432594005,10.2639127513738,9.11245923434684,10.1639844609925,10.1339621099184,9.62197863933382,9.53503817104399,10.2366017798879,3.58113504555924,9.92991770578471
"ENSG00000143384",10.2701653238409,9.9168319284295,9.93265882505643,9.91936606955917,9.55978392889279,9.49127297513258,10.2319938612684,9.88635483497741,10.2859180035968,9.92225861836861,9.11594361668364,10.3620220727918,9.71311086233006,10.1157286427331,10.0260832874034,9.51954209698729,3.45363291017071,9.89181468425324
"ENSG00000181163",10.395521437085,10.3476001433912,9.85214759684301,10.5071824158289,9.17586479070877,10.4827911971197,10.0137334692061,10.2108261253463,10.5488589233118,10.346775957489,8.77110877730067,9.16667855774345,9.91402823343061,9.46441379159523,9.38064072211759,9.29741858248941,5.86800688019924,9.86722442006292
"ENSG00000169045",10.1499287009922,9.85492563742236,10.0396441402947,9.97668844662631,9.99050598142051,9.78249760342132,10.2873252319402,10.5504150069834,10.3548209449702,9.88553732088522,8.74973598431116,9.86840794109916,9.29646046931715,9.65497342654784,9.57574116626004,9.6841712034121,4.35334851626664,9.85636120036899
"ENSG00000173812",10.049028435277,10.1304848153279,9.85252391193012,10.4490346466183,9.38252612651967,10.1332830897859,10.1000974447733,10.2159403632038,10.4715964957609,10.1709797708228,8.4679306861568,9.20797351635321,9.52507893782455,9.86469323396538,9.50824461261114,9.04393441198372,5.65312953870067,9.78583440618216
"ENSG00000110321",10.0785452867118,10.0513598809023,9.66360669335168,10.1136757825336,9.11396986590558,9.8368705078229,10.1020348526915,10.3694378842943,10.3457168404984,10.0242821202777,8.50241738742176,9.54928092478518,9.46783721863356,9.54013524046948,9.3809896350675,9.33569348095025,5.11063519660034,9.71724085014484
"ENSG00000135486",9.67389385013973,9.95873737753862,9.54745172164172,10.3136887830909,9.0585640483759,10.1405067323543,9.89833726076465,10.5033739391146,10.2476660058284,10.3270792901391,8.55024751318302,9.06353320392747,9.91699026489832,9.52581811700909,9.3217614957885,9.24314263368022,5.70978877367119,9.70567451484216
"ENSG00000198695",9.58960772518895,10.4054882088005,9.08212321488342,9.73788269216352,8.87236583775021,10.2403321891006,9.14015652031538,10.0650440700459,9.20988685795203,10.1257309356324,10.3927867061228,9.95019965410444,10.0002951695086,9.57150441061141,9.17817466734362,9.34623096315736,5.18466518709793,9.68173811391757
"ENSG00000167978",9.45883377065018,9.82525182992185,9.79573330576614,9.83143849433527,10.4992217271732,9.83003598937984,9.59932176471318,10.0494640369646,8.86289390859254,9.38761000667271,8.69921879538345,10.05228222789,9.669835492407,9.38090545866952,9.37434581618528,9.27062364609648,4.69194933840641,9.59918851692508
"ENSG00000204569",9.76858331227267,10.0134197624629,10.1030724735632,10.2472820997188,9.53311612981533,9.67528007534777,9.18442352083522,9.85740277931528,9.32936654337435,9.88553732088522,8.38641337846614,9.21534417916128,9.2476705364192,9.78771681082253,9.65395230681816,8.74685782548974,5.22585464290964,9.53971494092299
"ENSG00000133112",10.1895938714288,9.82617274232772,9.64747566548446,9.66009137274847,8.90114484838284,9.48976541759062,9.79721320629955,9.31864464521307,10.8418823269154,9.58549929803166,9.27421606455535,8.85696663014902,9.53183994648361,9.42268168188411,9.02288099067288,9.1361712276968,5.23387393241453,9.53138999599152
