"","F_B15","F_B16","F_B17","F_B18","F_B2","F_W10","F_W14","F_W6","F1_B3","F1_B4","F1_B5","F1_W11","F1_W15","F1_W16","F2_B3","F2_B4","F2_B5","F2_W11","F2_W15","F2_W16","MyoF_B15","MyoF_B16","MyoF_B17","MyoF_B18","MyoF_B2","MyoF_B3","MyoF_B4","MyoF_B5","MyoF_W10","MyoF_W11","MyoF_W14","MyoF_W15","MyoF_W16","MyoF_W3","MyoF_W6","CV","mean_expression"
"ENSG00000167978",10.2367808474305,10.2592374483512,10.1292171725752,10.4631772551096,10.5450321734006,9.92082242861992,10.0760007552382,10.1219887574771,10.2538683733972,10.2461740032422,10.2255398073641,9.88377508387732,10.2390970869938,10.6181111114057,10.1852737731568,10.3981645869254,10.223248564264,9.99293416914673,10.5767923750663,10.6438704394481,10.3206261814063,10.2290180676346,10.1026251038972,10.3558949525909,10.5725892098212,9.66061540624223,10.9129926984739,10.2455783802528,10.419284770283,10.1475633966352,10.3824064878101,10.2051594741465,10.0052431126615,10.0453304311445,9.66119886313832,2.57343682704414,10.2430066499608
"ENSG00000197321",10.1801691320989,10.3737524401894,9.77104934498496,10.2883428787339,10.4921491990717,10.6836952327644,10.3175432910668,10.1988318620014,10.8738699536101,10.3560609701075,10.5420520560579,10.0539257076227,10.6441642202228,10.352295018549,10.6238404573285,10.7201184944614,10.4341155979828,10.1840333583548,10.6738707498646,10.3598576017149,9.44048669427193,10.0631045873873,10.2257184067111,10.0494565751354,10.8940003427417,10.1614967367741,9.96981165840273,10.2542456638678,8.62606412349756,10.0299246534038,10.4459144338177,10.3375873626153,9.7594532250278,9.05606039622643,9.72340957239403,4.63943354677132,10.2045849142589
"ENSG00000026025",9.33661855460112,10.0507681870735,10.152755127025,10.3850105266975,10.1074939018053,9.71277767789246,10.6210115486813,9.94795487477834,10.0237220814289,9.92224886756048,11.1172425837941,10.6942257082626,10.2325396874272,10.3976742485746,9.45513768461285,9.7466784158658,10.1660233279054,11.0972396917347,10.7642838763103,10.430100185916,10.496756116698,10.6254717961434,10.6258693622389,10.7419703754502,10.266475053535,9.83612716187168,10.094004152286,10.4030116180885,9.41849737656815,10.6605801832313,9.40046372206549,9.57875510789509,9.81610365862153,9.59621709016694,10.4662374300492,4.70877184744101,10.1825156275102
"ENSG00000133112",9.89207496072527,9.7645899436341,9.8515891660419,10.0500115315462,9.02224610962074,9.9479201458438,10.8017986092836,10.4547301797438,10.2004337853352,10.1261248089566,10.3194860044203,10.1501206352207,9.69571329170656,9.59956457057236,9.88733901944018,9.77402513381953,10.1716651181614,10.3337914162725,9.41982999679119,9.69294167364417,9.61341170127891,10.4075503047996,10.3212322519224,10.5593657558318,10.1593670765709,11.0971089047148,10.0876927723098,10.7458751710934,10.3391328480197,10.4172291684851,9.78566180588145,10.4452490391108,10.1064815625847,10.2587072459835,10.9393501659256,4.29250765516194,10.1268403392941
"ENSG00000167460",10.0640373773222,9.42904020309059,9.94996897127342,9.96334131229573,9.84370864531055,10.2732853772648,10.5970208139297,10.5546169117479,10.2662863372597,10.0619105644843,10.3131276019466,10.7679242309792,9.99915859725624,10.0784816854666,10.4618867675315,9.77135542430809,9.82461071553115,10.9326055366827,10.3219544154252,10.1643074427103,9.25269556381939,9.17105703509658,8.80131162608866,9.86898081369534,9.81906089965048,9.89199097715585,9.33468661495942,9.5702035906926,10.4387265610777,10.164250384035,9.74826739373042,10.0328570257616,9.76707898150577,9.40855014839903,9.51099086871917,4.6831521017416,9.95483821189153
"ENSG00000035403",9.5146188902195,9.7736363186016,9.32259526062529,10.0405861640634,10.4162730482979,10.5071233642515,9.8092315026803,9.59096100907786,10.118391492138,9.81217367906121,10.0114017905504,10.1994448645886,10.3738032625281,10.0606576731841,9.84863490633489,9.96062906020849,9.76059586702038,10.4239296066002,10.0918570927564,10.1455856262349,9.55391128422364,9.08891494337629,9.21271407781802,10.2499569320787,10.4201668588444,9.76420335259004,9.17383985134556,9.91540695155698,9.12872157844999,10.3477592408718,10.0906493038296,9.76731906585957,9.73185302724902,9.26408434774792,8.93370288394313,4.38930588794354,9.84072383368022
"ENSG00000197102",9.16792603559415,9.26852146765955,8.98791453762503,10.3823152970585,10.3998048022664,9.85147668913351,9.86259373268472,10.0577673384499,9.84426804174395,9.63804250656433,10.151623293525,9.85673486017662,10.3556073936318,9.86652000673607,9.5911766825049,9.7874652420896,9.66498282288342,10.3025670892946,10.1151050125378,9.88794004767277,9.56923871020336,9.26904323982803,9.6538487275071,9.80511192466291,10.4304794009103,9.76111656218686,9.59989820549981,9.98585302375639,9.5946830899027,10.2364384756523,9.64866688492169,9.44122075742813,9.50457376338086,9.2088783710783,9.58989421853575,3.79548810488454,9.78112280729392
"ENSG00000140575",10.2707147159142,9.84474397483672,10.0114688293243,9.65543710699229,9.4126718492503,9.27236723456878,9.31150799312436,8.97842347851673,9.56565553965352,9.89215870219178,9.68355403304537,9.76420550556893,10.091620931783,10.1217346295551,9.80287194800152,9.97208191009151,9.83605298296435,9.70329274768513,10.4295477680946,10.3071546075526,9.20153380286964,9.20861011895543,9.20865843345501,9.4850676845134,9.10986435201695,9.28672305148595,9.0423235643873,9.43379644322037,8.69115156734324,9.14201057821045,9.59151307693079,9.94083892716315,9.68241568406083,8.80785085431812,9.05340705167714,4.59275445055493,9.56608661940923
"ENSG00000127481",8.82605338148944,9.54030397508102,9.03611058845022,10.7633255348747,10.5388001121666,9.62500610944074,9.32457678354488,9.70542315679198,9.30474830245656,9.53498213234996,9.54105149702231,9.48831784488002,9.69032453264166,9.28312103006853,9.08387033699453,9.62810876776202,9.23950039374538,9.74669139253495,9.72944141579326,9.317838149833,9.83709396158864,9.74626704083561,9.92717477916088,9.82423208058969,10.4315658522351,9.01208826528942,9.67927633786322,9.18420329788624,9.23886023615444,9.53307068166723,9.4477152158352,9.14827880503239,8.93403667207178,8.8163235844211,8.79352607058291,4.82558625708801,9.50003738054673
"ENSG00000198034",9.10075213191952,8.95381496776765,8.72935869059367,9.07292048922411,9.45277879159422,9.38164893977662,9.61787927430346,9.66706484416051,9.4587590673078,9.380176979052,10.1251026217227,9.73480475304642,10.1179504070127,9.44326485028813,9.2552703785433,9.05589092620395,9.50639772463835,10.0391560882708,9.30985960481147,9.40570387973396,9.18466233704121,9.18746647297459,9.19062851626742,9.28492130421153,9.99572330514992,10.0546194563067,9.0213987768765,9.96645816228726,9.20726564492602,10.251322135544,8.74735943486508,9.49824750265467,9.20351409087276,8.85830576005557,9.66285740636321,4.32287505784296,9.43209444903908
"ENSG00000197702",9.70185177644901,9.88198314963374,9.72537746095973,9.37324865496371,9.74547556114896,9.93299286133216,9.15534341991177,9.38616737614552,10.0605258046771,9.88748983508461,9.83257454873509,9.71855365197865,9.51631130611084,9.10242400917669,9.63197458771123,10.0102986424114,9.69903361785846,9.76018373974199,9.54355981894704,9.2227245015578,9.16578805319196,8.89804815286636,8.94647584565901,9.74116114628277,9.80761883358864,9.30450128590512,8.55993432841583,9.35253491836465,8.05891949257117,9.08000066912866,9.56194518930433,9.25788203542756,9.1342212666296,8.54999444561668,8.86564870914788,4.8905196002023,9.4049362484753
"ENSG00000147526",9.83096325710403,10.1121214337806,9.68788008972386,8.62418254846218,8.76023941734416,9.06681865330755,9.56094896009135,9.69860292997271,9.01055827649278,9.19132127459272,9.45918978254918,9.82811177383164,9.33554514915767,9.76299327650658,9.19740110484286,9.4891992099435,9.48573888878582,9.62458151802787,9.33040299277055,9.85821563405865,9.10021418290026,9.54586038279986,9.36806442841413,9.2477513220398,9.28957654288079,8.96233563899342,9.49597586489238,9.75154659584236,8.20197678638015,9.34686643467626,9.2802963750747,9.92420005121027,9.66757858501188,8.69096349861544,9.63868471807148,4.35326636971718,9.38362593083284
"ENSG00000086758",9.05986101815178,9.25613938897295,8.93086293783509,9.90148537771489,9.81812016723403,9.28849492069654,9.01234061333936,9.23085148488414,9.2242898419131,9.06253060108581,9.7510379649257,9.27606492546735,9.73597549718815,9.48069005070073,9.11546180766859,9.19374825137714,9.35966840462118,9.62157917173396,9.75330577324276,9.52952444001486,9.62024400506674,9.2562448105899,9.5039270330469,9.54538433030638,9.84286467309282,9.03867435770642,9.18076622305409,9.61876980171203,9.2961686845853,9.85218242952279,9.15499284465358,9.22895640638491,9.26089319416869,8.81829939873344,8.98141327580728,3.1783852837607,9.36576611734855
"ENSG00000174444",8.93883922536786,8.9040420802834,8.61737925793564,9.01811995938393,9.47231275393855,9.25718445452135,9.62616022173949,9.60578582682725,9.43714706351148,9.34393355083625,10.2109937178777,9.40258974183541,9.92594587390871,9.19679431410251,9.15993167721471,8.87218193111347,9.63270324985591,9.75397217828448,9.39900491728801,9.08321735574838,9.01923393970476,9.38408666638738,9.32958642418527,9.31869865581277,9.87697993930356,9.1316369867156,9.14039814957786,10.1041630599681,9.04951393819598,10.2205704048477,8.77250335914026,9.52622491007831,9.26983331199772,8.77991961993351,9.54604754223559,4.30080350959732,9.3522181788474
"ENSG00000110321",9.47753146579139,9.14464020231329,9.34540624867931,8.69872145877023,9.4200371672521,9.43360656013443,9.88011794089592,9.8007460994033,9.60246394916404,9.8592281834002,9.68099297765691,9.64555349917055,9.30049839632615,9.41146095105979,9.58173353553713,9.8062528282561,9.40305423982874,9.73869977696417,9.21815926730193,9.56863949033396,8.53783970006806,8.53944946385838,8.99604110012113,9.13742320127855,9.02734214098103,9.09533098129118,9.20925657454436,9.4614096195151,8.86928468310309,9.12219263134925,9.32701793634204,9.31881740660894,9.45448209603251,9.0424484541838,9.65307000081064,3.74178985093279,9.33739857795222
"ENSG00000115677",8.73961953375065,8.48150864565521,8.56708374421657,9.79461045185963,9.22410291282474,9.16147683818539,9.50381225087532,9.2575532638018,9.67680917539863,9.16104863145867,9.73515060559071,9.45278240900084,9.65956922871003,9.42486160372271,9.3052327342264,9.17909335388756,9.17176719764923,9.82870311721667,9.37839074484123,9.43321918438386,8.80344331216441,8.34503314750148,8.98213236898911,9.33370776715895,9.83093702478741,9.03314030355722,8.85092611210644,9.24834758906449,9.22527353587982,9.8439072195377,9.04545654040833,8.72489742122227,8.95043200103965,8.66644494310241,9.09605437793886,4.34650749815657,9.2033294083347
"ENSG00000174748",9.22112324133889,9.29539365015211,9.03201001071408,9.6013310456917,9.00441637384792,9.04763950824593,9.09843306318207,9.28083362003559,9.12945053860065,9.03707226761008,9.60499074808772,9.25439761388167,9.50556612674804,8.841852535564,9.01449188537111,8.62530371102763,9.27127439512606,9.43283754798975,9.08700218085108,8.74035607106666,9.3780021545784,9.58747571509931,9.56277140344262,9.45120598944923,9.44291109370173,9.25012861997983,8.7277261662275,9.61812428093842,8.70804730109845,9.72807108635559,8.54512546927964,9.27121523139819,8.92416076821007,8.49401137892597,9.31794380545639,3.59682219096633,9.1752199028364
"ENSG00000096384",8.75209638968383,8.81535639056488,8.46699353804147,8.47175951463125,8.4187391501528,9.07625539271782,9.36808439436095,9.21016506037108,8.87700886574278,9.10237676958403,9.71739652008454,9.21692171459224,9.29996240691643,9.2538637654895,9.02620551023877,8.91378132752024,9.54951109118416,9.5025087873357,9.29436030661939,9.35566554853646,8.7354187916972,9.08713546216648,9.13414013141493,8.9916178088873,9.47209911586855,9.03228702330013,9.30953378300931,9.84719473708242,9.05869871401556,9.9256757921057,8.96420713799091,9.73491540776585,9.28123258607496,8.7336547384944,9.76332239825328,4.19236468934537,9.1645756020713
"ENSG00000108654",9.0940366082899,8.80664952576972,8.89231233800329,7.94594018704266,8.9347695009523,8.90677853226738,9.27809181603618,9.60821400034703,9.14085364652902,9.6263639888775,9.08952845663997,9.16575556719327,8.91168485748628,9.0707387958539,9.24947934355053,9.61047919130811,9.32108270166712,9.06727104322803,9.06457610095506,9.26293907908868,8.51835452922634,8.70789257581372,8.60655269196619,8.84939128155685,8.78567411281092,9.12484881119501,9.80201856222144,9.29868502225516,9.2793502094908,8.8814888517876,9.5150751311334,9.5963052796253,9.46566660295164,9.41402417059745,9.71900126713553,4.2013816715149,9.13176783945295
"ENSG00000070756",9.4766259228693,8.95935392020198,9.42033378945479,8.94989032877058,8.37952197786726,8.93061054788705,9.38297202700897,9.26064361947234,9.04181449335786,8.9743724168778,9.29333532094969,9.2664139306527,8.93050608231328,9.10762023460009,9.19450161787103,8.71486729603537,9.1883948934162,9.38750816033686,8.98177796418669,9.19924113702602,8.78656296295767,9.09819539443549,9.37105609508468,9.39517571663378,8.9157329620534,8.59206905054134,8.9164311055616,9.29763724435308,9.21306945119477,9.24010268322781,8.67271298172064,9.23635957994325,9.03831194742454,8.94864690220889,9.49854197772454,2.90107544761747,9.09316890674918
"ENSG00000047849",8.65585861744167,8.67730018762689,8.31615195635474,9.85111257007297,9.0675400693934,9.24762632153098,8.67386338688962,8.28333009865809,9.34587200831343,8.86404248258011,9.30414435583788,9.48554757919637,9.48383265604068,9.36049187863753,9.09933525302534,8.96257686801719,8.85345337193227,9.89095120110227,9.36204991041062,9.32143620527917,9.12869854508794,8.34433222033134,8.57149831044595,9.35337560720185,9.78839612156802,9.35075185911679,8.77822095111302,9.10006918583382,8.60600232099608,9.82091865275735,9.03601781125553,8.84167644692425,9.00863863041059,8.23041291069416,8.74352078640124,5.00229336620177,9.05168706681369
"ENSG00000168036",9.51391289043462,9.69605029620672,9.32330723514352,8.87599196518979,9.59622113471995,8.93676338796893,9.44074185180994,9.58153231970037,8.84410548607416,8.96540287837426,9.72641046089364,9.28503018562472,9.41074954235027,9.24734483908254,8.75347446646096,9.02077636320357,9.32329267732625,9.47156788218735,9.19754975864427,9.4357161783918,8.45896153300847,8.50990645600772,9.05396738154272,8.3073894826563,8.70416333124063,8.62470248103114,9.48490917838777,8.99936618843086,8.67344564213944,8.86185162779454,8.66535600474409,8.83131528619887,8.56094275927185,8.42189562755041,8.68269300048438,4.46862786120031,9.04248022229362
"ENSG00000137154",8.79195309438032,8.64745195808269,8.31758192327818,8.45722841885562,8.9358765874305,9.08066132295422,9.42134872949777,9.37421327711607,9.00302783300928,8.89743625272647,9.5878026629889,9.22545122080009,9.45224700334646,8.86758405952745,8.88532110492101,8.54376107617668,9.22377730177212,9.36778883897112,8.74326387393323,8.87001987992306,8.65845627293598,8.8270740067842,8.99007677116573,8.80882854202448,9.26773245557923,9.45184893992243,8.74247423435357,9.66837555125166,8.91324497975625,9.59678747185253,8.48988791390455,9.25869012791447,8.95384012755349,8.60700651111535,9.46807298282499,3.99594466590738,9.011319808818
"ENSG00000288701",8.27938513270271,8.66753797044406,8.07875531916012,9.77594384099493,9.68853306951882,8.75980017418496,8.54903237657369,8.90894521202557,8.78112918553057,8.3325347471195,9.23331884440571,8.90973468035665,9.45137844722871,9.27569728548121,8.66922651726689,8.59429534955981,8.90265102823455,9.30352131740376,9.57169058704338,9.29504182295481,9.54030349057915,8.77418873979552,8.81722415595753,9.04614651223223,9.61562272741992,8.76331064422428,9.16542153158547,9.31462982386721,8.95861148598468,9.66900869331937,8.68367857816746,8.69944486962242,8.7161722787827,8.41858422584882,8.43420599555057,4.95923103083989,8.96127733317508
"ENSG00000107957",8.76535637730152,8.65824708779161,8.63567420481433,9.64332159418138,9.38445146107662,8.91264348365977,8.7327653098857,9.08530351562253,9.29574352132618,8.70494892574722,9.22579319431483,9.03387519387907,9.44973641317289,9.62604086525118,9.08627888363093,8.75848957687932,8.87484167856069,9.3289163381857,9.47550538821144,9.67078049564936,9.18109622285046,8.4397832852024,8.78586227824061,8.7972021360048,8.89454413846354,8.82324215705425,9.04844054376617,8.71454089037803,8.36346753661209,9.64819107666769,8.60249217349522,8.64644618319267,8.99142188762998,8.01834581722588,8.17392632445135,4.64594907538626,8.95650617601078
"ENSG00000127022",9.40294389266839,8.76996036328347,8.99788729384128,8.68426758663932,8.78361912747695,9.00825550779863,9.86692274091094,8.97193641466919,9.09835043758473,8.99174439030455,9.02743579304875,9.01122181333615,8.8965908786204,8.77076954221556,9.19226727119551,9.1716464289623,9.06932047327857,9.07654515595884,8.5716197384638,8.94806117706029,8.27775236668803,8.52002841458766,8.94561604651952,8.92190433934079,8.59643971867091,8.55452618324048,8.8572636779644,9.15468366190881,9.16128077276803,8.75041504219069,8.87912538867937,8.99211212341044,8.94041358276437,9.02575622801924,9.11798441796514,3.10736211404897,8.9430476569153
"ENSG00000063046",8.67808654777332,8.50042917528085,8.72505479972981,8.24358437088536,8.7194929484307,8.81609514230298,9.35283577791469,9.18861831056764,9.0933458483305,8.97613258927186,9.08303874441636,8.89880621529176,9.04201705360357,8.71724711956063,8.96011122493066,8.71625606972237,9.17888513414943,9.02343162725002,8.72816409011443,8.53775958298621,8.43450236379331,8.98830337139167,9.11170287227404,8.86075320820068,9.00003910670321,8.72527459723989,9.12911203710012,9.38795564521843,8.61148986733724,9.28698900192865,8.79465631167967,9.38586787148287,8.990807576622,8.55344925271793,9.27821137443389,3.20594572759708,8.90624305230391
"ENSG00000055609",9.50443677934327,9.39749621555792,9.41614455742986,8.31580768161775,8.23744334422028,8.60822887388437,9.04658253404909,8.48084479656281,8.77580572909357,8.99308235892308,8.2156179995709,9.17148442358062,8.9466215274083,9.16520489724381,8.89867528079632,9.11183295429469,8.87470470080799,8.90535798445364,8.9147152766421,9.26886140329479,8.54356895465757,8.84712807975439,8.66343839223978,8.53498841665446,8.4422964736276,8.53598403456099,8.9889012997259,8.66727270094717,9.10122777180794,8.45749540300139,9.14930836257744,9.61111564023202,9.4649590475851,9.36227121710464,8.6870881036049,4.25361269845964,8.89445694905304
