"","CE1","CE10","CE11","CE12","CE13","CE14","CE15","CE16","CE17","CE18","CE19","CE2","CE20","CE21","CE22","CE23","CE24","CE25","CE26","CE27","CE29","CE3","CE30","CE31","CE4","CE5","CE6","CE7","CE8","CE9","ME1","ME10_S3","ME11","ME12","ME13","ME14","ME15","ME16","ME17","ME18","ME19","ME2","ME20","ME21","ME22","ME23","ME24","ME25","ME26","ME27","ME29","ME3","ME30","ME31","ME5","ME6","ME7","ME8","ME9","CV","mean_expression"
"ENSG00000110651",10.4407035671509,10.3740556776807,10.2547157088212,10.3934724623401,10.6641505926962,10.8867903887143,10.1672746424601,10.1979627340173,10.4330669524804,10.255896516255,10.0361510609588,10.020443985682,11.0087275172652,10.8028006087794,10.2793415491852,11.0319112225935,10.3174282675964,10.7538519724069,10.9636045654255,10.9678021701974,10.0567216126669,10.6245580041154,12.1490325766306,10.7743900493122,10.005286154836,10.1749603537633,11.0884383964254,10.0599143326403,11.2324618503775,10.3070279129165,10.5535535669416,10.5221761755999,10.3502247078167,10.129169778989,10.1936923772687,11.5018546700235,10.4860866419811,10.255126428519,10.0720643532415,10.3598172596951,10.1269488347419,10.6449542232789,11.7862520888584,9.78284230177982,10.3538133704168,10.875287535177,10.1319916785096,10.7034574955206,10.5879439034092,10.5074186907322,10.3690232129825,10.8907497677192,10.0662298672852,10.9587470474891,10.2869920105431,10.3677438797212,10.5607792393143,10.4134427773173,10.1843169695031,0.042466522427713,10.5211126145893
"ENSG00000087460",10.03500128659,9.94131702872203,10.2982949617747,9.92404154058475,9.84963315745993,9.90032855452236,9.73861795640888,9.77155264728515,10.1718389046026,9.5406778908905,9.80770181805525,9.66046874961254,10.0746225276862,10.2142651061532,10.1975327342734,9.92710573706244,9.62013034698089,9.65011709739068,10.1152329346109,10.3315486140463,9.788073573583,9.89947189432874,10.1558793884038,9.98241015397539,10.773673151673,10.5857379692637,9.95756024681355,9.88589956945905,9.97441437256623,9.85347957906172,10.110315366356,10.4366912335752,10.062486632191,11.0947300642376,9.74204586969224,10.4246080833337,10.1690835568146,10.3563533345674,9.80013629152139,9.74017016888872,9.88664933546022,10.4806423696898,10.0854869214386,10.1174096335259,10.0061752916149,9.86706971723524,9.72026488570553,10.4811432686858,10.2544312283541,10.1724833180227,9.64449969080271,10.0486021831758,9.76456638083304,10.4097280166603,9.8807976388007,9.99843153278137,9.80905923886777,10.2222879913433,10.0247584553661,0.02965595505939,10.0413175795489
"ENSG00000035862",9.88112660780308,9.99689343645523,9.54497725555178,9.70997216674013,10.4481169753753,10.3345016060988,10.0258518404587,9.66446693451855,9.9287801154416,9.6039112472566,9.92922980477728,9.89207285304014,9.68893926404245,10.0091943681921,9.54354652941841,9.99024790125922,9.60298959459207,9.50997189666107,10.1026022771664,9.48450721459834,9.78132150240654,9.74567516694483,10.0390230289027,10.3313016694953,9.82680295994115,10.730918994015,9.95970774585984,10.2353705844659,9.91091979677918,9.8025982618289,10.0430825597304,9.17590333643479,9.50892875382173,9.08336201641305,9.87909807132119,11.5378326850247,9.48630397410593,9.49192162191393,9.72208057629069,9.57224366627474,9.39387428673811,9.13244164308956,10.5603748371841,9.75228866930981,9.74781431573875,10.0764269915755,10.017383351512,9.06952955997908,10.2193736819539,9.66802776983134,9.91198370396653,10.0572011735472,10.3690233342908,10.5641406171323,9.6898029988953,9.66773239488267,10.155627774314,9.4997082514936,10.126974907156,0.0426624013323947,9.87179706989845
"ENSG00000187514",9.80819821085052,9.64986820790026,10.147460746464,9.58128515443467,9.70896758243001,9.68745193751551,9.50818806721674,9.52900800692399,10.2321361330266,9.68619002869138,9.96347977465503,9.3278099689048,9.55392801589729,10.2249198757265,9.83871382820593,9.99696386615594,9.56522656467433,9.70482814798927,9.80253743772597,10.2189033107722,9.95474303883566,9.72094345416702,8.47157346393959,9.20385885346531,10.5230426022497,9.91066518057939,9.88508864617589,10.1991482154944,9.53654806779307,9.93244380143179,10.0076169065491,9.0027504608386,10.2371411595425,10.2692487736095,9.69663380005764,10.6559184083523,10.4500383700819,10.5559849470416,10.0794911955159,10.2189619419512,10.2298467601718,9.45687478202354,9.44976905769211,10.0611751259863,10.0590383354744,10.0693619424999,9.67191540341676,9.39752698527388,10.2030506896195,10.1021254257382,9.83755264653123,10.3985420942708,9.52132178588878,9.28840380495198,9.76525804471563,9.89452338390347,10.0157576671594,10.2776940601645,10.2840434587556,0.0407273475362329,9.86833368827239
"ENSG00000110321",9.6436151409237,9.71566255063031,9.42373864004624,9.7703847683138,8.8251212789955,9.6245985752453,9.85618538362678,10.0305294819588,9.67963099108433,9.76963349841285,10.037151250734,9.99040000748185,9.89915711514486,9.54457957746989,9.55770754045003,9.5002532314801,9.65513951320277,9.90531998850683,9.74385698803182,9.5666614869765,9.47833485433935,9.72602276823995,8.71737212535583,10.1090217823916,9.75016255817521,9.83284813102434,9.7820194467412,9.94447874453328,9.13836939635085,9.66779476539201,9.90869983973114,10.2298194164565,10.0285029743403,9.80296025913664,9.54255365711571,10.3700510607906,9.74650626376835,9.9277770045247,9.65199655687103,10.1888917036153,10.0926656545272,10.2058548055441,9.31352413286879,10.0043297093598,9.62978326010592,9.88987497686321,10.0880205205854,10.1519624825583,9.86296893677423,9.88544488980357,10.1646472782189,9.67249094191733,10.3329837016256,9.70519976699439,10.171262942487,9.63285640464681,10.0690046560265,9.58171212090141,10.1805247096307,0.0327727554404198,9.79523088489914
"ENSG00000196531",9.63103344463156,9.49949266311119,9.80909658344642,9.41554923017542,10.4804340746501,9.55202473084882,9.24458372420164,9.32497634485738,10.0423842994282,9.46299517940804,9.54108885777168,8.89765486507132,9.7981067532666,9.7109879231949,10.1175194748732,9.35070180156503,9.44735744629845,9.32572311153645,9.37123483703712,10.0341873015088,9.58013596683483,9.53001500781079,9.47889240719725,9.26286821374702,10.6819745842144,10.2176007726264,9.5013785154171,9.85410660995456,9.72891153160372,9.24015553198577,9.98904837900903,9.81848174272917,10.1006685697611,10.2213076266106,9.06678059643215,9.79477517977075,10.203787612981,10.50119485211,10.0220321778763,9.667847033201,9.97528210154336,9.8288848193797,10.5562715662804,10.1972695395252,9.78561164721564,9.74362307040244,9.31508961571332,9.5458571778963,9.45104389765903,9.58841575294598,8.88222554322336,10.4556752957984,8.93201920773576,10.2255014183295,9.71639346641044,9.90549546848092,9.56236802768769,9.99103792238297,9.95616932684276,0.0426897751897891,9.73107339702048
"ENSG00000108654",9.54838073197373,9.89636510945762,9.95505771134951,9.67214428685933,9.69041704215808,9.60773018203215,9.96530278692895,9.89209027516723,9.87925177568537,10.0426744799036,9.73127796653973,9.93881681008925,9.67915421803626,9.50915698724834,9.94187278138243,9.84544094907471,9.83887632163451,10.2447007078273,9.82690998678517,9.63521616326091,9.54590187732965,9.74872181524252,8.90835373306003,9.8315535660624,9.71040658669314,9.24918017190488,9.6888181577222,9.94835030281311,9.24810553015497,9.51187008046824,9.51176475482852,9.62289610857188,9.88663947771512,9.76013980999192,9.8247629762561,9.34126146034847,9.8169093719679,9.60799318004758,10.0334429851067,9.57876034879002,9.72271336739891,9.47903214293087,9.05016154417805,9.99450312032059,9.49633314494171,9.84707664481847,9.5593775448057,9.61770620774648,9.84575760161266,9.739124329695,9.50287586890801,9.50903322079579,9.76554997529155,9.68400687105111,9.2445794399932,9.79432017484662,9.88257946285917,9.20196871394322,9.64961967406662,0.0260297810146318,9.68310150201141
"ENSG00000143933",9.45556086530679,9.62167092019185,9.57019276488243,10.1105056395664,9.57999682283751,10.1544155315086,9.81461701106872,10.1453049820605,9.63785089037036,9.58862883054679,9.72021489975622,9.7546026981565,10.4939031481183,9.81586037047223,10.0952176490134,9.86112148455739,9.43863827237929,9.76119295174576,9.47942220613386,10.0584585485459,9.04700789660808,10.1799841032335,10.2140332347332,10.060112035091,9.55294594254106,9.39649808004347,10.0572329865373,9.58155202120466,9.9545798731158,9.38811236832658,9.41915426000835,9.69197955507645,9.68015359858862,9.51986449392012,8.72334905955976,10.1655102675743,9.74633609047423,9.66351012352859,9.14243538069456,9.62692883597995,9.58495304294688,9.52345686912083,9.45715344093992,10.1538845513897,9.46559278718005,10.1285626671628,9.38626503579697,8.71825358748645,9.2632269573767,9.59083245091402,9.3426454421818,9.83815829358868,9.2373257692685,9.52612964430435,9.8602028256671,9.35996696695613,9.41193313623568,10.4864620163758,9.82801415658145,0.0380978768733704,9.68019790399207
"ENSG00000080824",9.89645405569135,9.49504933533659,9.18101992783739,9.90867281321047,9.92630272268081,9.34494569251223,9.81999320959427,10.1346499174701,9.26048005066339,9.50676209716172,9.94955850919491,9.75213061908974,10.1706237805449,9.53885159917501,9.85560027666567,9.50806901980924,9.38829506428537,9.67861024119749,8.86541253258679,9.45392220566463,9.3421595271142,11.2977569534871,8.79011369123979,9.6704733073498,10.3617475140674,9.49585620272874,9.6392128877626,9.84782251647136,9.48284784938689,9.95246333318788,9.52458457326953,10.1421728785547,9.72938628324928,9.41943816084699,9.26558582966255,10.1166166119328,9.59626610627194,9.43553660712061,9.22213894804032,9.66866182078573,9.83067577259356,10.1995220102677,10.2639899338624,9.85644832219514,9.89707093939788,9.63326227879316,9.63032918245866,9.85527175755736,9.6836367059736,9.2557264301941,9.54645141760831,9.76226994236875,9.46103268325977,9.37898416582119,9.69470116672758,9.03921312281547,9.66384848270013,9.7863965769854,9.55291137858768,0.0403267842986089,9.67166080581474
"ENSG00000096384",9.71228262166803,9.37022765186453,9.347885307383,8.77404592587223,9.73693695502586,9.30900689394573,9.64942435121975,9.41995084105367,9.5278139987914,9.58702011050212,9.91415604657927,9.23507125840759,9.6305695813472,9.70563769499006,9.75341313104994,9.78805626886783,9.40168754882749,9.74596672847508,9.68322405056791,9.9723671153917,9.96884165785092,10.2513480766817,9.32206933864165,9.25517547290778,10.231463842904,9.83998585869171,9.48771883347281,10.1639792444901,9.61119709816126,9.80007999044455,9.67750382908374,9.37024597511804,9.33471049015376,9.54690975733604,10.1421881038198,9.53184937552462,9.77575935676878,9.63095098986335,10.1140046917992,9.58265627566706,9.69233627873956,9.23317625249897,9.336167516738,9.9086347296876,9.86401955258357,9.21026360936406,9.65937373689967,9.72830889919623,9.70716987122894,9.85339605282841,9.64120582431117,9.78124884775966,9.24785145508179,9.4399041619508,9.20891885448923,8.85358591247285,9.99289958950517,9.9632288596591,9.52501187904279,0.0321605778533427,9.6228827834788
"ENSG00000009307",9.2164542257,9.70616653010994,9.25290651340419,9.67116764302618,9.49341493619376,9.81607827750699,9.70649267078709,9.67658531355687,9.44663686147939,9.65828915955859,9.79415810277916,9.68024508108468,9.41654718843374,9.5062246490697,9.6268170757839,9.25972062331869,9.45721700290928,9.45115476588867,9.43853414294512,9.48321073173106,9.41116140393425,9.80350524116287,9.2726483031657,9.62504446260323,9.9636802285003,9.8206637304847,9.66931633085148,9.73984763546014,9.08653515317657,9.12756264712993,9.23907008545843,9.80956026634117,9.43162794731464,8.21872202821743,9.14622388621828,9.65579450057835,9.44289431371869,9.43647894457044,9.42693413348472,9.59984533990662,9.65322051327938,9.94622642875959,9.37300724465244,9.6075682217854,9.19475191075544,9.25565564092581,9.41639134161408,9.63705399733303,9.08152977607708,9.41923723809312,9.53680654890764,9.30283800960544,9.41639029002437,9.19696026163409,9.4075882040922,9.36927031445755,9.67605682564252,9.22791720336605,9.20380924489244,0.0290699816294444,9.4679223270075
"ENSG00000196262",9.50268849231307,9.40001663346194,9.61038277814579,9.66034894519828,9.50510405798379,9.41851629289573,9.26670051658612,9.62234732950315,9.4344676274547,9.00604683144471,9.31607072919982,9.24083659816868,9.99586789457132,9.72513183054537,9.90379634303617,9.34066311873176,8.80348780522233,9.22919548107565,9.22610973905626,9.9607421832487,9.05871817474062,9.43425766529474,9.66597378259145,9.45774696748499,10.0004814712624,9.80541920034134,9.61746318149907,9.28592308792037,10.0818581124335,9.34999840229975,9.32098864108263,9.70357729575433,9.55303560540695,10.4486782278769,8.55137804969031,9.842371293938,9.67651505744795,9.68031398276575,8.75856548474861,9.09814199674735,9.37812485243026,9.97546012301722,9.79811538239324,9.83770903429581,9.56971093464572,9.42411343938644,8.91678760277667,9.13591415710599,9.32247722223478,9.35960334822449,8.7520981173107,9.94035266783401,8.96090241576627,9.6063279685684,9.37864203388795,9.51089200936071,8.9250164978227,9.80346772329857,9.36789274876976,0.039201409974729,9.46650059641187
"ENSG00000065978",9.03473274951136,9.5358722767941,8.93099213240446,8.94649510572358,8.98391778389642,8.97199900819809,9.42970438366384,9.25310234426705,9.57514030655723,9.07027403043984,9.26177114684438,8.98002122513303,9.35160037527831,9.59415337323935,9.53432879376411,9.2534610108199,8.94389781207339,9.21012707756935,9.54275077992205,10.1789506665988,9.1070941210811,9.40921417906323,9.02919266153469,9.30726256505093,10.7131439308248,10.4236758851411,9.46974892800978,9.50293820744712,9.5164364980171,8.99335933423504,9.06637706223142,9.30361610894622,9.34503506514772,9.76816065469299,8.88790479111849,8.83928372718724,9.80391332597953,9.73877881058943,8.83295374229313,9.50904878034786,9.61695834100824,9.70269834200838,9.0714415511768,10.0168505767,9.30122408987403,9.04502777902685,8.96192653944198,9.26026962835634,9.26419017159898,9.62994636695651,9.28334656945359,9.68273417157045,8.97814548356654,9.56539921632103,9.21554361527767,8.89925809195689,9.22930583013609,9.3777151536637,9.04926364577353,0.0409337522274118,9.34409620212721
"ENSG00000156976",9.2258934395008,8.99255939751213,9.13715172859827,8.98204076750147,9.05487160686067,9.49229184569916,9.18749581230327,9.09563268233202,9.504790632009,9.50591099674534,9.32428807051253,9.00569940422094,9.02388496337148,8.93142146810343,9.34992635526824,9.34246830570688,9.21298131081682,9.14290075386201,9.2949849163586,9.17379248849382,9.37591039518178,9.48000040636864,8.09199070761942,8.96806837254827,9.33248698554194,9.04070697986827,9.33782302274535,9.65418925562583,8.54043257901599,9.16431703767528,9.46149355558581,9.63079630045193,9.94855437706467,9.11181543528294,9.1561606377413,9.6036959897251,9.42457672327448,9.8338695345803,9.58653744563371,9.78632168521303,9.71806309215092,9.61829623985068,7.84927830752718,9.75691977435838,9.22225586538933,9.62402732880016,9.36867155973408,9.4392289931849,9.29309188999532,9.40222101981353,9.04305057406341,9.72178125075366,8.97330070117458,8.90353424185223,9.47936086683472,9.69698167754635,10.0206212732811,9.69273449346716,9.61604417785037,0.0417265174843459,9.30424063898558
"ENSG00000070756",9.14756579883091,9.14764753665492,9.06450506799879,9.04244462382973,9.4177668685586,9.33982116642551,9.25829895256175,8.86920782507767,9.36241015232635,9.2363793125938,9.28188156990307,8.86201814388811,8.74495328977185,9.04443016570632,9.35018262695695,8.75913731424317,9.10187286129991,9.02169812474723,9.25871300816402,9.44274464380076,9.38315403337991,9.11017889905559,8.38821399385104,9.06714533484405,10.0373058526832,10.0873542269221,9.20493127720041,9.59177462102504,8.72212762550657,9.12635696664558,9.26013331721315,9.40561788104421,9.60761441399377,9.39099565022197,9.2041535038279,9.76416792911529,9.56009429786092,9.88998144620024,9.53254530251005,9.4058130401978,9.48831527015245,9.60834044336971,9.31014649315058,9.02200555517294,9.15928302756902,9.05898827167509,9.30342988544036,9.44175632047325,9.66797455319375,9.35767464790296,9.03615340771451,9.50454901475861,9.06739333334303,9.2890629236598,9.54502181804918,9.36991715188185,9.41203741260456,9.10844538605753,9.1111906134197,0.033131212753281,9.27720379993605
"ENSG00000132475",8.94250682538237,9.39677531616301,10.02904768909,9.05472064136463,10.1389499304482,9.22346504541294,9.07182530142969,8.85334452965767,9.53963699465689,9.36762538608674,9.01202566212772,8.94273859954223,9.20801399701876,9.20249959651351,9.3021126862264,9.59281809086708,9.11428436646849,9.33131888467413,9.31713559259743,9.4007875887123,9.43292055229816,8.9414982320072,8.52292328605436,9.16882994575499,10.0454925394181,9.62267479682913,8.99163327670199,9.22633912107052,8.9790910650025,8.85979981573412,9.18274451714988,8.79900871950491,9.32270990635383,9.00538618766582,9.74489318617385,9.7328399656041,9.52854449323635,9.32589785334378,9.7681300248838,9.38959607095627,9.36276709874294,8.60200963090085,9.12602204951422,9.4093618428799,9.01457089138555,9.85545872390466,8.7556959100278,9.15000289869711,9.71442793187444,9.34002694506795,8.95759573211313,9.42094656612582,8.81584941799934,9.00507000898937,9.24204679695767,9.61350479224101,9.01824644807843,9.18333253071156,9.36827976812381,0.0373561459033743,9.26420003838168
